Removed Pin From Net: NetName=AGND Pin=R4-2
Added Pin To Net: NetName=AGND Pin=C1-2
Added Pin To Net: NetName=AGND Pin=C2-2
Added Pin To Net: NetName=AGND Pin=C3-2
Added Pin To Net: NetName=AGND Pin=C4-2
Added Pin To Net: NetName=AGND Pin=C5-2
Added Pin To Net: NetName=AGND Pin=C6-2
Added Pin To Net: NetName=AGND Pin=C7-2
Added Pin To Net: NetName=AGND Pin=C8-2
Added Pin To Net: NetName=AGND Pin=C9-2
Added Pin To Net: NetName=AGND Pin=C10-2
Added Pin To Net: NetName=AGND Pin=C11-2
Added Pin To Net: NetName=AGND Pin=C12-2
Added Pin To Net: NetName=AGND Pin=C13-2
Added Pin To Net: NetName=AGND Pin=C14-2
Added Pin To Net: NetName=AGND Pin=C15-2
Added Pin To Net: NetName=AGND Pin=C16-2
Added Pin To Net: NetName=AGND Pin=C17-2
Added Pin To Net: NetName=AGND Pin=C18-2
Added Pin To Net: NetName=AGND Pin=C19-2
Added Pin To Net: NetName=AGND Pin=C23-2
Added Pin To Net: NetName=AGND Pin=C34-1
Added Pin To Net: NetName=AGND Pin=C35-1
Added Pin To Net: NetName=AGND Pin=D4-2
Added Pin To Net: NetName=AGND Pin=D5-1
Added Pin To Net: NetName=AGND Pin=D6-1
Added Pin To Net: NetName=AGND Pin=D7-1
Added Pin To Net: NetName=AGND Pin=P1-4
Added Pin To Net: NetName=AGND Pin=P1-6
Added Pin To Net: NetName=AGND Pin=P1-8
Added Pin To Net: NetName=AGND Pin=P1-10
Added Pin To Net: NetName=AGND Pin=P1-12
Added Pin To Net: NetName=AGND Pin=P1-14
Added Pin To Net: NetName=AGND Pin=P1-16
Added Pin To Net: NetName=AGND Pin=P1-18
Added Pin To Net: NetName=AGND Pin=P1-20
Added Pin To Net: NetName=AGND Pin=Q1-3
Added Pin To Net: NetName=AGND Pin=Q2-3
Added Pin To Net: NetName=AGND Pin=Q3-3
Added Pin To Net: NetName=AGND Pin=Q4-3
Added Pin To Net: NetName=AGND Pin=Q5-3
Added Pin To Net: NetName=AGND Pin=Q6-3
Added Pin To Net: NetName=AGND Pin=Q7-3
Added Pin To Net: NetName=AGND Pin=Q8-3
Added Pin To Net: NetName=AGND Pin=Q9-3
Added Pin To Net: NetName=AGND Pin=Q10-3
Added Pin To Net: NetName=AGND Pin=Q11-3
Added Pin To Net: NetName=AGND Pin=Q12-3
Added Pin To Net: NetName=AGND Pin=Q13-3
Added Pin To Net: NetName=AGND Pin=Q14-3
Added Pin To Net: NetName=AGND Pin=Q15-3
Added Pin To Net: NetName=AGND Pin=Q16-3
Added Pin To Net: NetName=AGND Pin=R1-1
Added Pin To Net: NetName=AGND Pin=R5-2
Added Pin To Net: NetName=AGND Pin=R10-1
Added Pin To Net: NetName=AGND Pin=U1-2
Added Pin To Net: NetName=AGND Pin=U2-2
Added Pin To Net: NetName=AGND Pin=U3-18
Added Pin To Net: NetName=AGND Pin=U3-31
Added Pin To Net: NetName=AGND Pin=U3-47
Added Pin To Net: NetName=AGND Pin=U3-63
Added Pin To Net: NetName=AGND Pin=U5-5
Added Pin To Net: NetName=AGND Pin=U6-12
